,male_nonsmoker,female_nonsmoker,male_smoker,female_smoker
18,0.00066,0.00027,0.00067,0.00027
19,0.00069,0.00027,0.0007,0.00027
20,0.00071,0.00026,0.00072,0.00026
21,0.00071,0.00027,0.00075,0.00027
22,0.00069,0.00027,0.00078,0.00027
23,0.00069,0.00027,0.0008,0.0003
24,0.00068,0.00026,0.00083,0.00033
25,0.00066,0.00026,0.00085,0.00033
26,0.00057,0.00027,0.00084,0.00034
27,0.00052,0.00028,0.00083,0.00034
28,0.0005,0.0003,0.00082,0.00036
29,0.00047,0.00032,0.00082,0.00038
30,0.00046,0.00034,0.00084,0.00041
31,0.00049,0.00036,0.00088,0.00044
32,0.00052,0.0004,0.00095,0.00047
33,0.00058,0.00047,0.00102,0.00057
34,0.00066,0.00054,0.0011,0.00069
35,0.00077,0.00062,0.00119,0.00079
36,0.00089,0.0007,0.0013,0.00094
37,0.00101,0.00077,0.00142,0.00109
38,0.00111,0.00083,0.00158,0.00123
39,0.00117,0.00086,0.00179,0.00134
40,0.00124,0.00087,0.00201,0.00144
41,0.00131,0.00087,0.00224,0.00153
42,0.0014,0.00088,0.00246,0.00162
43,0.00148,0.00088,0.00265,0.00171
44,0.00154,0.00088,0.00279,0.00182
45,0.00159,0.0009,0.00294,0.00196
46,0.00165,0.00094,0.00313,0.00215
47,0.00171,0.00099,0.00334,0.00235
48,0.00179,0.00105,0.00357,0.00258
49,0.00188,0.00113,0.00383,0.00284
50,0.00199,0.00123,0.00413,0.00313
51,0.00216,0.00135,0.00447,0.00345
52,0.00236,0.00151,0.00486,0.0038
53,0.00258,0.0017,0.00528,0.00418
54,0.0028,0.0019,0.00577,0.00461
55,0.00302,0.0021,0.00632,0.00509
56,0.00322,0.0023,0.00694,0.00564
57,0.00343,0.00249,0.00765,0.00626
58,0.00366,0.00269,0.00846,0.00695
59,0.00393,0.00291,0.00939,0.00771
60,0.00428,0.00316,0.01045,0.00856
61,0.00474,0.00346,0.01166,0.00951
62,0.00527,0.0038,0.01303,0.01055
63,0.00588,0.00419,0.01453,0.01168
64,0.00654,0.00461,0.01618,0.01292
65,0.00725,0.00506,0.01798,0.01426
66,0.00802,0.00555,0.01989,0.0157
67,0.00886,0.00609,0.0219,0.01723
68,0.00979,0.00668,0.02405,0.01884
69,0.01088,0.00736,0.02641,0.02057
70,0.01216,0.00816,0.02908,0.02249
71,0.01369,0.00911,0.03211,0.02448
72,0.01548,0.01022,0.03547,0.02655
73,0.01755,0.01152,0.03908,0.02881
74,0.01989,0.01303,0.04283,0.03128
75,0.02248,0.01475,0.0466,0.03403
76,0.02532,0.01674,0.05033,0.03708
77,0.02846,0.01906,0.05404,0.04046
78,0.03199,0.02179,0.05784,0.04419
79,0.03604,0.02508,0.06188,0.04874
80,0.04076,0.02896,0.06627,0.05443
81,0.04615,0.03307,0.07094,0.06102
82,0.05227,0.03734,0.07684,0.06845
83,0.05931,0.04223,0.08442,0.07639
84,0.06748,0.04898,0.09303,0.08402
85,0.07696,0.05673,0.10279,0.09323
86,0.08787,0.06443,0.11376,0.10403
87,0.10029,0.07325,0.12586,0.11461
88,0.11402,0.08331,0.13882,0.12599
89,0.12876,0.09439,0.15225,0.13798
90,0.14417,0.10638,0.16584,0.15026
91,0.15979,0.11927,0.17917,0.16273
92,0.1753,0.13319,0.19204,0.17551
93,0.19025,0.14781,0.20412,0.18805
94,0.20394,0.16312,0.21485,0.20027
95,0.21845,0.18074,0.22652,0.21401
96,0.23554,0.20127,0.24113,0.22982
97,0.25392,0.22374,0.25732,0.24627
98,0.27364,0.24802,0.2753,0.26304
99,0.29431,0.27379,0.29479,0.27966
100,0.31552,0.29921,0.31552,0.29921
101,0.33699,0.32314,0.33699,0.32314
102,0.35854,0.34698,0.35854,0.34698
103,0.37981,0.37036,0.37981,0.37036
104,0.40044,0.39292,0.40044,0.39292
105,0.42009,0.4143,0.42009,0.4143
106,0.4384,0.43413,0.4384,0.43413
107,0.45501,0.45205,0.45501,0.45205
108,0.46956,0.46769,0.46956,0.46769
109,0.4817,0.48068,0.4817,0.48068
110,0.49107,0.49065,0.49107,0.49065
111,0.49731,0.49723,0.49731,0.49723
112,0.5,0.5,0.5,0.5
113,0.5,0.5,0.5,0.5
114,0.5,0.5,0.5,0.5
115,0.5,0.5,0.5,0.5
116,0.5,0.5,0.5,0.5
117,0.5,0.5,0.5,0.5
118,0.5,0.5,0.5,0.5
119,0.5,0.5,0.5,0.5
120,0.5,0.5,0.5,0.5
